Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:51:49,NewPlayerTesting,0.75,2.00,-4.48, , , , , , 
Player Update,07:51:53,NewPlayerTesting,0.80,2.00,-4.20, , , , , , 
Player Action,07:51:53,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:52:18,NewPlayerTesting,1.50,2.00,-12.29, , , , , , 
Player Update,07:52:19,NewPlayerTesting,-1.42,2.00,-8.86, , , , , , 
Player Update,07:52:20,NewPlayerTesting,-1.42,2.00,-8.86, , , , , , 
Player Update,07:52:21,NewPlayerTesting,-1.42,2.00,-8.86, , , , , , 
Player Action,07:52:21,NewPlayerTesting, , , , , ,Anchor Pull, , , 
Player Update,07:52:23,NewPlayerTesting,-2.02,2.00,-8.70, , , , , , 
Player Update,07:52:24,NewPlayerTesting,-5.71,2.00,-5.89, , , , , , 
Player Update,07:52:25,NewPlayerTesting,-2.17,2.00,-4.54, , , , , , 
Player Update,07:52:26,NewPlayerTesting,-2.44,2.00,-4.32, , , , , , 
Player Update,07:52:27,NewPlayerTesting,-2.69,2.00,-3.93, , , , , , 
Player Update,07:52:29,NewPlayerTesting,-2.27,2.00,-4.15, , , , , , 
Player Update,07:52:30,NewPlayerTesting,-2.62,2.00,-3.74, , , , , , 
Player Action,07:52:38,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:52:40,NewPlayerTesting,-4.57,2.00,0.95, , , , , , 
Player Take Damage,07:52:44,NewPlayerTesting,-5.16,2.00,2.65,TestTrigger, , ,3, ,False
Player Take Damage,07:52:46,NewPlayerTesting,-5.17,2.00,3.46,TestTrigger, , ,2, ,False
Event Name,Time Stamp,Scene Name,PosX, PosY, PosZ,Damage Cause,Enemy Type,Player Action Type,Current Player Health,Player Health Before Event,Was Killed
Player Update,07:55:52,NewPlayerTesting,1.33,2.00,5.16, , , , , , 
Player Update,07:55:54,NewPlayerTesting,-0.79,2.00,-2.55, , , , , , 
Player Update,07:55:55,NewPlayerTesting,-2.41,2.00,-3.20, , , , , , 
Player Action,07:55:56,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:56:00,NewPlayerTesting,-4.89,2.00,4.93, , , , , , 
Player Action,07:56:31,NewPlayerTesting, , , , , ,Anchor Pull, , , 
Player Update,07:56:33,NewPlayerTesting,-4.30,2.00,4.44, , , , , , 
Player Update,07:56:34,NewPlayerTesting,-1.32,2.00,5.21, , , , , , 
Player Update,07:56:35,NewPlayerTesting,-0.91,2.00,0.38, , , , , , 
Player Update,07:56:36,NewPlayerTesting,-2.87,2.00,-5.41, , , , , , 
Player Action,07:56:36,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:56:37,NewPlayerTesting,4.53,2.00,-7.85, , , , , , 
Player Action,07:56:38,NewPlayerTesting, , , , , ,Dash, , , 
Player Update,07:56:38,NewPlayerTesting,-3.64,2.00,-4.86, , , , , , 
Player Action,07:56:39,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:56:39,NewPlayerTesting,-1.07,2.00,-5.90, , , , , , 
Player Update,07:56:41,NewPlayerTesting,-4.19,2.00,-14.19, , , , , , 
Player Update,07:56:42,NewPlayerTesting,-1.24,2.00,-5.23, , , , , , 
Player Action,07:56:42,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:56:43,NewPlayerTesting,-6.97,2.00,6.68, , , , , , 
Player Action,07:56:43,NewPlayerTesting, , , , , ,Dash, , , 
Player Update,07:56:44,NewPlayerTesting,-2.61,2.00,-2.54, , , , , , 
Player Update,07:56:45,NewPlayerTesting,-2.31,2.00,3.08, , , , , , 
Player Action,07:56:45,NewPlayerTesting, , , , , ,Dash Slam, , , 
Player Update,07:56:46,NewPlayerTesting,-5.95,2.00,13.61, , , , , , 
Player Action,07:56:46,NewPlayerTesting, , , , , ,Dash, , , 
Player Update,07:56:47,NewPlayerTesting,-2.50,2.00,5.07, , , , , , 
Player Update,07:56:48,NewPlayerTesting,-0.89,2.00,2.14, , , , , , 
